retailer_name,retailer_url
The Men's Wearhouse,
The North Face,
The Popular,
The Underwear Expert,
The Wet Seal Inc.,
Theory,
Threadless,
ThreadUp,
Thyme Maternity,
Tillys,
Tipsy Elves,
Title Nine,
TJ Maxx,
TK Maxx,
Today's Man,
Tom Ford,
Tom James,
Tommy Bahama,
Tommy Hilfiger,
Tori Richard,
Torrid,
Tory Burch LLC,
Tourneau,
Trashy Lingerie,
True & Co.,
True Religion,
Trunk Club,
Twigs Boutique,
UglyChristmasSweater.com,
Urban Outfitters,
Venus Fashion,
Vera Bradley,
VF Outlet,
Victor Clothing,
Victoria's Secret Stores,
Vineyard Vines,
Von Maur,
Walmart,
Wantable,
Warnaco Group,
Weber & Heilbroner,
Westport Big & Tall,
White House Black Market,
Wilkes Bashford,
Wilsons Leather Outlets,
Winners Merchants International L.P.,
Yandy.com,
Zappos,
ZCMI,
Zumiez,
